node,namespace,workload_type,pod_count,cpu_usage_percent,memory_usage_percent,disk_usage_percent,network_receive_bytes,network_transmit_bytes,pod_restart_count,pod_ready_percent,node_ready_status,api_server_latency_ms,etcd_latency_ms,scheduler_latency_ms,container_runtime_errors,kubelet_rpc_rate,pvc_usage_percent,time_of_day,day_of_week,is_weekend,cluster_age_days,timestamp,issue_type
node-001,app-staging,statefulset,17.343418538390747,16.38453447805489,25.415291664802304,58.274461873252186,5136881.832146413,4782232.364617491,0.02293574336575626,98.28182476630488,1,16.167342847675776,8.11640474311608,7.9294678252913116,0.05158892748949736,74.13895855039301,60.308029663959694,12.908147390922226,1,0,309.26382746380636,2025-02-07 05:31:09.595296,None
node-006,database,daemonset,19.904406741921942,17.507257728128884,68.09699602445185,42.74348374759961,1609223.392201748,736848.8721083067,7.163760008781436,35.415414307741784,0,38.56295550018357,6.348413547366389,9.644990990983306,0.9968333591804802,17.622345710441042,30.844363036919905,19.703228737007723,4,1,185.4259203305171,2025-02-07 05:46:09.595296,node_failure
node-010,kube-system,statefulset,9.44779930215105,93.24169376346354,41.88929051498764,62.96361974518442,1494133.8100910382,3403796.3384241564,2.099234515224659,97.48911085280872,1,164.40988897554757,4.958098746841405,86.38169815852399,-0.02876246691866478,59.09067983331063,27.554882736716245,14.154751323231071,3,0,322.25689251302083,2025-02-07 06:01:09.595296,cpu_throttling
node-002,app-prod,deployment,24.052993324314006,30.154640172621324,23.792906885052545,66.62763235360211,5733124.646264409,6647047.788977008,0.0,100.0,1,19.209508017028355,11.922912042585189,10.605478897319534,1.0108228189510517,20.927898683688742,60.83794911627126,16.649027858732094,2,1,307.3809224863276,2025-02-07 06:16:09.595296,None
node-019,database,daemonset,16.838110894929684,60.911489363628945,25.673592499129583,50.439886637515706,8040380.130767544,7293790.149881817,0.0,99.48401825067336,1,43.26013218781485,-3.4931999617777336,0.8853975730439396,0.8630020658817514,63.76947098201103,43.20006486636364,8.392380304095564,4,1,5.39987584553162,2025-02-07 06:31:09.595296,None
node-004,app-staging,daemonset,9.838122245860536,24.001845663646847,27.36218129920731,30.603738306177107,7181556.384309037,6353930.126696076,2.189908798464521,99.60008979677126,1,27.795749216627136,-2.226199214533519,19.418239127310503,-0.12123362883886275,23.2002449690899,64.06268347562751,17.480454898759735,6,0,-1.8251255946398595,2025-02-07 06:46:09.595296,None
node-016,default,deployment,27.091837133332543,54.809863359395436,59.915680644162826,41.49537362487895,0.0,6896060.607147833,0.1216176815822131,97.51077461920049,1,37.60102020486133,1.8685193193069023,22.343257720873428,0.026415686928176568,20.397047286319047,44.3311382700053,16.66469899868941,1,0,275.70998298829454,2025-02-07 07:01:09.595296,None
node-014,app-prod,cronjob,49.53058949779921,43.810940355513694,56.947621176615414,45.705903125192336,7416803.212750276,3061904.263053119,1.7725356556752196,98.46091684326996,1,10.570561971249372,3.563774246614196,-8.408188845602906,-0.09577788112408142,62.07091734727815,9.90592147814247,22.14164513063621,5,0,120.90371095638729,2025-02-07 07:16:09.595296,None
node-011,kube-system,cronjob,17.675414508621763,23.1838396072064,44.077571376857804,51.62150316725087,8077513.057011778,7934873.538460434,8.120996022601478,40.13980533772582,0,51.47270457862196,10.652370669712493,14.781059556858892,-0.0483555197834292,69.99840763519764,35.928427149946934,12.677713185993792,3,1,28.653031078267755,2025-02-07 07:31:09.595296,node_failure
node-004,app-prod,statefulset,15.375115498577909,37.52896428933764,28.816682658420607,92.04135271337414,3395726.462888888,7306457.177741262,1.2661626253181888,97.89652044460617,1,31.053029895501606,-2.2507959971117577,9.24749243857657,0.013478828376893038,95.17123604729237,99.69227336747227,6.387399840484367,1,0,245.84579785701422,2025-02-07 07:46:09.595296,disk_pressure
node-013,app-staging,job,20.679601988859638,31.95527374007271,68.53568550815544,69.63304457788475,4856704.416540512,5604895.249096514,6.715971835868791,9.227427020110747,0,14.951037159546322,-0.36288899621683424,21.461835866127398,0.057073702062673634,76.16069178616638,13.528886831115233,17.785024845221834,3,0,270.64048482854315,2025-02-07 08:01:09.595296,node_failure
node-003,kube-system,statefulset,27.678003474862606,16.73765680763766,64.88815954607131,38.67240011859129,7306286.922116214,4974618.016458939,0.42972227832234566,98.69548614343167,1,18.059964783510914,6.02657993117858,14.147160936559791,1.0247841168377376,30.945637330235908,38.63213341746586,20.90007683319307,5,0,237.52491208656238,2025-02-07 08:16:09.595296,None
node-003,default,job,42.16728802500023,58.77396099691128,69.31580392716856,32.143392383721384,2288330.968684178,2733635.6718446175,1.5161164233547524,100.0,1,37.2160413335141,1.0013380883142506,3.1976106769072117,0.9942603337289582,65.82962806161161,78.20457504360452,19.593275839225935,4,0,340.20614904424383,2025-02-07 08:31:09.595296,None
